Angle (2θ),Intensity,HKL
39.18051576,100,"(1, 1, 0)"
56.61111679,15.29124987,"(2, 0, 0)"
71.00545556,28.97102014,"(2, 1, 1)"
84.22411842,8.776236094,"(2, 2, 0)"
97.13473978,13.10108556,"(3, 1, 0)"
110.428838,3.97197359,"(2, 2, 2)"
125.021542,26.26857744,"(3, 2, 1)"
143.0085212,4.657630166,"(4, 0, 0)"
