Angle,Intensity
10.0021,86
10.0063,75
10.0104,82
10.0146,74
10.0188,92
10.023,78
10.0272,97
10.0313,77
10.0355,80
10.0397,85
10.0439,76
10.048,87
10.0522,101
10.0564,78
10.0606,92
10.0648,75
10.0689,84
10.0731,88
10.0773,75
10.0815,76
10.0856,89
10.0898,81
10.094,91
10.0982,88
10.1024,89
10.1065,96
10.1107,91
10.1149,80
10.1191,76
10.1232,64
10.1274,80
10.1316,80
10.1358,97
10.14,94
10.1441,87
10.1483,87
10.1525,88
10.1567,77
10.1608,79
10.165,88
10.1692,88
10.1734,86
10.1776,92
10.1817,82
10.1859,73
10.1901,67
10.1943,88
10.1984,80
10.2026,81
10.2068,76
10.211,80
10.2152,79
10.2193,76
10.2235,79
10.2277,78
10.2319,81
10.236,85
10.2402,78
10.2444,85
10.2486,55
10.2528,87
10.2569,81
10.2611,89
10.2653,77
10.2695,87
10.2736,94
10.2778,75
10.282,85
10.2862,85
10.2904,78
10.2945,93
10.2987,86
10.3029,85
10.3071,89
10.3112,94
10.3154,91
10.3196,75
10.3238,102
10.328,78
10.3321,100
10.3363,88
10.3405,80
10.3447,79
10.3488,93
10.353,88
10.3572,88
10.3614,86
10.3656,80
10.3697,76
10.3739,89
10.3781,85
10.3823,113
10.3864,79
10.3906,87
10.3948,86
10.399,80
10.4032,90
10.4073,92
10.4115,67
10.4157,68
10.4199,81
10.424,90
10.4282,98
10.4324,69
10.4366,56
10.4408,78
10.4449,69
10.4491,80
10.4533,76
10.4575,89
10.4616,100
10.4658,84
10.47,70
10.4742,97
10.4784,88
10.4825,72
10.4867,63
10.4909,68
10.4951,88
10.4992,74
10.5034,75
10.5076,91
10.5118,74
10.516,81
10.5201,75
10.5243,74
10.5285,70
10.5327,79
10.5368,70
10.541,73
10.5452,88
10.5494,84
10.5536,81
10.5577,70
10.5619,80
10.5661,90
10.5703,74
10.5744,89
10.5786,96
10.5828,79
10.587,92
10.5912,70
10.5953,90
10.5995,85
10.6037,78
10.6079,68
10.6121,99
10.6162,86
10.6204,74
10.6246,63
10.6288,78
10.6329,88
10.6371,74
10.6413,102
10.6455,68
10.6497,79
10.6538,78
10.658,92
10.6622,74
10.6664,76
10.6705,92
10.6747,84
10.6789,96
10.6831,72
10.6873,65
10.6914,78
10.6956,102
10.6998,91
10.704,81
10.7081,74
10.7123,74
10.7165,78
10.7207,75
10.7249,94
10.729,69
10.7332,80
10.7374,74
10.7416,91
10.7457,85
10.7499,90
10.7541,75
