Angle,Intensity
11.9322,101
11.9364,108
11.9406,87
11.9448,106
11.949,93
11.9531,103
11.9573,110
11.9615,94
11.9657,79
11.9698,94
11.974,96
11.9782,103
11.9824,97
11.9866,89
11.9907,98
11.9949,78
11.9991,93
12.0033,96
12.0074,111
12.0116,96
12.0158,93
12.02,93
12.0242,94
12.0283,88
12.0325,76
12.0367,97
12.0409,84
12.045,81
12.0492,104
12.0534,93
12.0576,109
12.0618,101
12.0659,76
12.0701,94
12.0743,80
12.0785,85
12.0826,82
12.0868,101
12.091,86
12.0952,86
12.0994,90
12.1035,72
12.1077,99
12.1119,101
12.1161,98
12.1202,88
12.1244,89
12.1286,102
12.1328,78
12.137,88
12.1411,88
12.1453,114
12.1495,96
12.1537,74
12.1578,91
12.162,88
12.1662,75
12.1704,91
12.1746,85
12.1787,70
12.1829,86
12.1871,91
12.1913,93
12.1954,103
12.1996,99
12.2038,86
12.208,76
12.2122,80
12.2163,79
12.2205,98
12.2247,79
12.2289,75
12.233,98
12.2372,73
12.2414,78
12.2456,97
12.2498,93
12.2539,97
12.2581,90
12.2623,66
12.2665,92
12.2706,85
12.2748,96
12.279,94
12.2832,92
12.2874,82
12.2915,82
12.2957,78
12.2999,103
12.3041,80
12.3082,79
12.3124,92
12.3166,102
12.3208,100
12.325,82
12.3291,74
12.3333,96
12.3375,87
12.3417,89
12.3458,75
12.35,86
12.3542,81
12.3584,93
12.3626,87
12.3667,98
12.3709,78
12.3751,94
12.3793,87
12.3834,60
12.3876,86
12.3918,87
12.396,92
12.4002,81
12.4043,80
12.4085,78
12.4127,79
12.4169,86
12.421,78
12.4252,93
12.4294,79
12.4336,91
12.4378,90
12.4419,86
12.4461,84
12.4503,90
12.4545,100
12.4586,79
12.4628,94
12.467,79
12.4712,78
12.4754,92
12.4795,76
12.4837,96
12.4879,92
12.4921,94
12.4962,78
12.5004,90
12.5046,76
12.5088,100
12.513,80
12.5171,92
12.5213,93
12.5255,110
12.5297,86
12.5338,84
12.538,78
12.5422,91
12.5464,82
12.5506,87
12.5547,79
12.5589,76
12.5631,92
12.5673,80
12.5714,87
12.5756,74
12.5798,99
12.584,92
12.5882,80
12.5923,99
12.5965,88
12.6007,85
12.6049,99
12.609,84
12.6132,70
12.6174,80
12.6216,97
12.6258,84
12.6299,81
12.6341,90
12.6383,89
12.6425,92
12.6466,87
12.6508,91
12.655,82
12.6592,68
12.6634,93
12.6675,91
12.6717,80
12.6759,76
12.6801,102
12.6842,81
12.6884,84
12.6926,92
12.6968,70
12.701,78
12.7051,86
12.7093,103
12.7135,78
12.7177,84
12.7218,86
12.726,77
12.7302,98
12.7344,98
12.7386,69
12.7427,81
12.7469,89
12.7511,104
12.7553,72
12.7594,87
12.7636,113
12.7678,87
12.772,79
12.7762,74
12.7803,91
12.7845,89
12.7887,92
12.7929,102
12.797,93
12.8012,89
12.8054,88
12.8096,82
12.8138,78
12.8179,70
12.8221,109
12.8263,85
12.8305,84
12.8346,78
12.8388,91
12.843,89
12.8472,102
12.8514,76
12.8555,75
12.8597,77
12.8639,68
12.8681,89
12.8722,91
12.8764,85
12.8806,82
12.8848,85
12.889,98
12.8931,89
12.8973,73
12.9015,93
12.9057,76
12.9098,73
12.914,86
12.9182,80
12.9224,78
12.9266,81
12.9307,85
12.9349,91
12.9391,79
12.9433,82
12.9475,99
12.9516,98
12.9558,99
12.96,72
12.9642,99
12.9683,96
12.9725,81
12.9767,75
12.9809,101
12.9851,73
12.9892,87
12.9934,77
12.9976,73
13.0018,77
13.0059,77
13.0101,115
13.0143,87
13.0185,85
13.0227,73
13.0268,89
13.031,81
13.0352,74
13.0394,84
13.0435,87
13.0477,88
13.0519,98
13.0561,84
13.0603,88
13.0644,76
13.0686,74
13.0728,92
13.077,85
13.0811,85
13.0853,101
13.0895,64
13.0937,87
13.0979,77
13.102,90
13.1062,94
13.1104,92
13.1146,104
13.1187,85
13.1229,84
13.1271,89
13.1313,81
13.1355,87
13.1396,76
13.1438,87
13.148,85
13.1522,86
13.1563,77
13.1605,103
13.1647,77
13.1689,72
13.1731,91
13.1772,69
13.1814,81
13.1856,82
13.1898,94
13.1939,76
13.1981,74
13.2023,86
13.2065,85
13.2107,82
13.2148,75
13.219,92
13.2232,65
13.2274,72
13.2315,86
13.2357,99
13.2399,79
13.2441,85
13.2483,79
13.2524,98
13.2566,89
13.2608,74
13.265,102
13.2691,67
13.2733,104
13.2775,63
13.2817,100
13.2859,64
13.29,77
13.2942,77
